name,url,promoted_content,query,tweet_volume
Macron,http://twitter.com/search?q=Macron,,Macron,1303360.0
Le Pen,http://twitter.com/search?q=%22Le+Pen%22,,%22Le+Pen%22,567706.0
Everton,http://twitter.com/search?q=Everton,,Everton,208831.0
Warriors,http://twitter.com/search?q=Warriors,,Warriors,179169.0
The French,http://twitter.com/search?q=%22The+French%22,,%22The+French%22,142019.0
Melenchon,http://twitter.com/search?q=Melenchon,,Melenchon,126586.0
Diaz,http://twitter.com/search?q=Diaz,,Diaz,118930.0
ONE OF US,http://twitter.com/search?q=%22ONE+OF+US%22,,%22ONE+OF+US%22,108785.0
Ranboo,http://twitter.com/search?q=Ranboo,,Ranboo,81373.0
Milan,http://twitter.com/search?q=Milan,,Milan,81035.0
Origi,http://twitter.com/search?q=Origi,,Origi,71980.0
Steph,http://twitter.com/search?q=Steph,,Steph,71468.0
Gordon,http://twitter.com/search?q=Gordon,,Gordon,50695.0
