"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
,World,"509,044,782","+534,417","6,241,619","+1,428","461,390,623","+499,564","41,412,540","42,703","65,306",800.7,,
1,USA,"82,640,993","+12,904","1,018,196 ",+42,"80,409,729","+7,328","1,213,068","1,502","247,057","3,044","1,000,230,193","2,990,214"
2,India,"43,057,061","+2,109","522,183 ",+34,"42,517,724",,"17,154",698,"30,657",372,"834,281,170","594,024"
3,Brazil,"30,345,654","+6,957","662,618 ",,"29,353,398",,"329,638","8,318","140,957","3,078","63,776,166","296,244"
4,France,"28,244,977","+80,571","145,020 ",+75,"25,852,907","+102,120","2,247,050","1,677","430,998","2,213","266,484,045","4,066,358"
5,Germany,"24,109,433","+89,665","134,624 ",+153,"21,179,400","+121,400","2,795,409","1,980","286,108","1,598","122,332,384","1,451,727"
6,UK,"21,933,206",,"173,352 ",,"20,714,072",,"1,045,782",339,"320,058","2,530","514,985,782","7,514,884"
7,Russia,"18,128,691","+8,829","374,734 ",+171,"17,464,120","+13,030","289,837","2,300","124,129","2,566","273,400,000","1,871,997"
8,S. Korea,"16,830,469","+75,414","22,024 ",+151,N/A,N/A,N/A,738,"327,768",429,"15,804,065","307,779"
9,Italy,"16,079,209","+70,520","162,609 ",+143,"14,684,371","+61,778","1,232,229",409,"266,647","2,697","211,365,630","3,505,142"
10,Turkey,"15,016,270","+2,654","98,676 ",+16,"14,854,475","+17,524","63,119",975,"174,659","1,148","158,110,923","1,839,039"
11,Spain,"11,786,036",,"103,908 ",,"11,261,340",,"420,788",339,"251,906","2,221","471,036,328","10,067,585"
12,Vietnam,"10,554,689","+10,365","43,004 ",+6,"9,081,494","+2,229","1,430,191",685,"106,702",435,"85,786,808","867,259"
13,Argentina,"9,060,923",,"128,344 ",,"8,895,999",,"36,580",412,"197,220","2,794","35,716,069","777,395"
14,Netherlands,"8,035,603",,"22,206 ",,"7,604,434",,"408,963",94,"467,099","1,291","21,107,399","1,226,946"
15,Japan,"7,577,841","+42,808","29,257 ",+56,"7,078,090","+50,424","470,494",203,"60,247",233,"46,582,691","370,354"
16,Iran,"7,215,512",+608,"140,952 ",+22,"6,963,991","+3,021","110,569","1,087","83,969","1,640","50,079,995","582,797"
17,Colombia,"6,090,803",,"139,765 ",,"5,924,143",,"26,895",342,"117,446","2,695","34,345,975","662,278"
18,Indonesia,"6,043,768",+522,"156,067 ",+27,"5,868,251","+2,082","19,450","2,771","21,683",560,"94,877,499","340,384"
19,Poland,"5,990,853","+1,240","115,948 ",+22,"5,334,341",+68,"540,564","1,588","158,606","3,070","36,020,113","953,622"
20,Mexico,"5,732,712","+1,077","324,060 ",+27,"5,033,238",+882,"375,414","4,798","43,637","2,467","15,755,813","119,931"
21,Australia,"5,654,107","+41,253","6,982 ",+43,"5,233,750",,"413,375",132,"217,189",268,"68,805,662","2,643,005"
22,Ukraine,"4,997,224",,"108,306 ",,N/A,N/A,N/A,177,"115,515","2,504","19,521,252","451,251"
23,Malaysia,"4,421,443",,"35,482 ",,"4,300,558",,"85,403",91,"133,524","1,072","58,261,657","1,759,461"
24,Thailand,"4,148,090","+20,052","27,652 ",+129,"3,932,099","+22,361","188,339","1,496","59,161",394,"17,270,775","246,318"
25,Austria,"4,099,049","+6,536","18,035 ",+19,"3,979,563","+11,753","101,451",121,"450,493","1,982","181,724,310","19,971,849"
26,Israel,"4,054,342","+6,649","10,658 ",,"4,009,152",,"34,532",220,"434,735","1,143","41,373,364","4,436,346"
27,Belgium,"4,015,791",,"31,319 ",,"3,710,295",,"274,177",169,"343,802","2,681","33,456,470","2,864,292"
28,Czechia,"3,894,630","+2,117","40,071 ",+4,"3,834,770","+3,695","19,789",47,"362,467","3,729","55,108,160","5,128,826"
29,Portugal,"3,791,744",,"22,162 ",,N/A,N/A,N/A,61,"373,824","2,185","40,748,372","4,017,339"
30,South Africa,"3,759,689","+4,230","100,298 ",+12,"3,632,572",+290,"26,819",175,"61,983","1,654","24,313,334","400,837"
31,Canada,"3,695,585","+3,820","38,777 ",+24,"3,426,082","+3,274","230,726",426,"96,393","1,011","60,536,359","1,578,993"
32,Philippines,"3,684,300",+210,"60,179 ",+61,"3,609,425","+1,231","14,696",289,"32,834",536,"29,406,529","262,068"
33,Switzerland,"3,579,867",,"13,816 ",,"3,358,732","+22,469","207,319",90,"408,255","1,576","20,666,182","2,356,812"
34,Peru,"3,559,343",,"212,724 ",,N/A,N/A,N/A,356,"105,307","6,294","29,592,270","875,521"
35,Chile,"3,544,463","+2,671","57,375 ",+24,"3,368,796","+9,388","118,292",286,"182,592","2,956","36,711,724","1,891,191"
36,Greece,"3,277,557","+4,175","28,867 ",+28,"3,151,717","+6,895","96,973",277,"317,245","2,794","78,872,546","7,634,329"
37,Denmark,"2,959,040","+1,214","6,072 ",+12,"2,929,103","+2,303","23,865",15,"507,644","1,042","127,141,200","21,811,961"
38,Romania,"2,887,824",+566,"65,421 ",+8,"2,606,660",,"215,743",212,"151,939","3,442","22,585,326","1,188,300"
39,Sweden,"2,498,388",,"18,656 ",,"2,463,086","+1,263","16,646",19,"244,634","1,827","18,493,218","1,810,793"
